SampleID	ADG	CP1	OMD1	CP2	OMD2	Average_OMD	Average_CPI	SampleType	ADG_Class_Real	Obs	ADG:OMD	Year	ADG_Class	Comparison
S6006	NA	106.2631397	0.657669407	109.01748	0.66194855	0.659808978	108	Saliva	NA	Ok	NA	2019	NA	No
S6021	NA	168.2753199	0.727312262	156.51782	0.717366619	0.72233944	162	Saliva	NA	Ok	NA	2019	NA	No
S7001	NA	129.5304962	0.689543828	84.78948	0.617046305	0.653295067	107	Saliva	NA	Ok	NA	2019	NA	No
S7061	295	99.2704665	0.646032219	NA	NA	0.646032219	99	Saliva	Middle	Ok	457.026503503225	2019	High	Yes
S7057	288	NA	NA	138.03724	0.699187543	0.699187543	138	Saliva	Middle	Ok	411.730623610381	2019	High	Yes
S7017	284	118.1338641	0.675066613	87.41418	0.622968358	0.649017485	103	Saliva	Middle	Ok	437.981562700117	2019	High	Yes
S7039	282	109.6943397	0.6629762	NA	NA	0.6629762	110	Saliva	Middle	Ok	425.923167528488	2019	High	Yes
S6069	279	130.9756138	0.691246986	NA	NA	0.691246986	131	Saliva	Middle	Ok	402.934014528926	2019	High	Yes
S7007	276	106.567185	0.65814965	80.85916	0.607329254	0.632739452	94	Saliva	Middle	Ok	436.891457654833	2019	High	Yes
S6101	274	112.1563431	0.666638297	87643	0.623466888	0.645052592	100	Saliva	Middle	Ok	425.343970713011	2019	High	Yes
S7063	274	132.3641374	0.692857624	74.9906	0.589966837	0.64141223	104	Saliva	Middle	Ok	426.492791227258	2019	High	Yes
S7015	273	102.9834457	0.652357794	83.69922	0.61446399	0.633410892	93	Saliva	Middle	Ok	431.764939400505	2019	High	Yes
S7029	273	NA	NA	99.50126	0.646435803	0.646435803	100	Saliva	Middle	Ok	422.583457834869	2019	High	Yes
S7043	270	NA	NA	74.2503	0.587425593	0.587425593	74	Saliva	Middle	Ok	459.645775596978	2019	Middle	No
S7047	270	117.1052325	0.673660535	77.44032	0.597744426	0.63570248	97	Saliva	Middle	Ok	424.085662997571	2019	Middle	No
S7087	262	135.6869819	0.696612773	86.64696	0.621277028	0.658944901	111	Saliva	Middle	Ok	397.179233654924	2019	Middle	No
S7065	256	110.1218352	0.663620541	NA	NA	0.663620541	110	Saliva	Middle	Ok	385.391696608137	2019	Middle	No
S7071	251	91.16522384	0.630832679	112.19404	0.666693466	0.648763073	102	Saliva	Middle	Ok	386.53437785908	2019	Middle	No
S6027	245	111.0871098	0.665062255	88.59866	0.625521034	0.645291645	100	Saliva	Middle	Ok	379.262024072852	2019	Middle	No
S7083	243	88.10454841	0.624464504	85.38172	0.618417263	0.621440883	87	Saliva	Middle	Ok	391.521863069958	2019	Middle	No
S7045	241	118.1246868	0.675054146	116.77044	0.673199047	0.674126596	117	Saliva	Middle	Ok	357.984575199878	2019	Middle	No
S7037	240	102.9092892	0.652234817	NA	NA	0.652234817	103	Saliva	Middle	Ok	367.499783134085	2019	Middle	No
S7033	235	NA	NA	131.7245	0.692118772	0.692118772	132	Saliva	Middle	Ok	339.903865806431	2019	Middle	No
S7023	230	102.0754007	0.650842803	109.60972	0.662848227	0.656845515	106	Saliva	Middle	Ok	350.796687406779	2019	Middle	No
S7009	229	136.1336685	0.697107205	NA	NA	0.697107205	136	Saliva	Middle	Ok	328.351438857959	2019	Middle	No
S7035	228	99.2387192	0.64597659	77.57492	0.59814707	0.62206183	88	Saliva	Middle	Ok	366.782733639195	2019	Middle	No
S7059	227	134.3250194	0.69509023	91.93674	0.632376114	0.663733172	113	Saliva	Middle	Ok	341.836857145962	2019	Middle	No
S7055	226	117.5280104	0.674240595	NA	NA	0.674240595	118	Saliva	Middle	Ok	334.9580392738	2019	Low	Yes
S7003	222	124.9241834	0.683924	83.76652	0.614625692	0.649274846	104	Saliva	Middle	Ok	341.647421375693	2019	Low	Yes
S7075	221	99.91106057	0.647148895	86.66042	0.62130697	0.634227932	93	Saliva	Middle	Ok	348.388459655542	2019	Low	Yes
S7027	217	NA	NA	NA	NA	NA	NA	Saliva	Middle	Ok	NA	2019	Low	Yes
S7031	213	NA	NA	81.3168	0.608523241	0.608523241	81	Saliva	Middle	Ok	350.659762886525	2019	Low	Yes
S389	197	NA	NA	NA	NA	NA	NA	Saliva	Low	Ok	NA	2019	Low	Yes
S7077	196	NA	NA	87.87182	0.623962788	0.623962788	88	Saliva	Low	Ok	313.418592039498	2019	Low	Yes
S7125	191	151.4548053	0.712721951	94.26532	0.636900884	0.674811418	123	Saliva	Low	Ok	283.287122151214	2019	Low	Yes
S7089	189	NA	NA	94.26532	0.636900884	0.636900884	94	Saliva	Low	Ok	297.051413261973	2019	Low	Yes
LR4075	657	108.61	0.64	NA	NA	0.64	109	Ruminal_Fluid	High	Ok	1026.5625	2017	High	Yes
LR4058	614	91.32	0.59	NA	NA	0.59	91	Ruminal_Fluid	High	Ok	1040.6779661017	2017	High	Yes
LR4069	486	130.04	0.66	NA	NA	0.66	130	Ruminal_Fluid	High	Ok	736.363636363636	2017	High	Yes
LR4065	457	116.58	0.65	NA	NA	0.65	117	Ruminal_Fluid	High	Ok	703.076923076923	2017	High	Yes
LR4133	457	140.54	0.67	NA	NA	0.67	141	Ruminal_Fluid	High	Ok	682.089552238806	2017	High	Yes
LR4063	443	76.39	0.48	NA	NA	0.48	76	Ruminal_Fluid	High	Ok	922.916666666667	2017	Middle	No
LR4187	357	84.04	0.55	NA	NA	0.55	84	Ruminal_Fluid	Middle	Ok	649.090909090909	2017	Middle	No
LR4257	343	112.04	0.65	NA	NA	0.65	112	Ruminal_Fluid	Middle	Ok	527.692307692308	2017	Middle	No
LR4067	314	111.72	0.64	NA	NA	0.64	112	Ruminal_Fluid	Middle	Ok	490625	2017	Middle	No
LR4155	314	124.48	0.66	NA	NA	0.66	124	Ruminal_Fluid	Middle	Ok	475.757575757576	2017	Middle	No
LR4129	214	107.61	0.61	NA	NA	0.61	108	Ruminal_Fluid	Middle	Ok	350.819672131148	2017	Middle	No
LR4095	186	120.34	0.65	NA	NA	0.65	120	Ruminal_Fluid	Low	Ok	286.153846153846	2017	Middle	No
LR4047	171	108.71	0.64	NA	NA	0.64	109	Ruminal_Fluid	Low	Ok	267.1875	2017	Low	Yes
LR4085	171	124.91	0.66	NA	NA	0.66	125	Ruminal_Fluid	Low	Ok	259.090909090909	2017	Low	Yes
LR4033	157	NA	NA	NA	NA	NA	NA	Ruminal_Fluid	Low	Ok	NA	2017	Low	Yes
LR4125	157	127.64	0.66	NA	NA	0.66	128	Ruminal_Fluid	Low	Ok	237.878787878788	2017	Low	Yes
LR4131	1	NA	NA	NA	NA	NA	NA	Ruminal_Fluid	Low	Ok	NA	2017	Low	Yes
F6006	NA	106.2631397	0.657669407	109.01748	0.66194855	0.659808978	108	Feces	NA	Ok	NA	2019	NA	No
F6021	NA	168.2753199	0.727312262	156.51782	0.717366619	0.72233944	162	Feces	NA	Ok	NA	2019	NA	No
F7001	NA	129.5304962	0.689543828	84.78948	0.617046305	0.653295067	107	Feces	NA	Ok	NA	2019	NA	No
F7077b	NA	NA	NA	82.58204	0.611732578	0.611732578	83	Feces	NA	Ok	NA	2019	NA	No
F4075	657	108.61	0.64	NA	NA	0.64	109	Feces	High	Ok	1026.5625	2017	High	Yes
F4058	614	91.32	0.59	NA	NA	0.59	91	Feces	High	Ok	1040.6779661017	2017	High	Yes
F4277	543	100.98	0.62	NA	NA	0.62	101	Feces	High	Ok	875.806451612903	2017	High	Yes
F4069	486	130.04	0.66	NA	NA	0.66	130	Feces	High	Ok	736.363636363636	2017	High	Yes
F4065	457	116.58	0.65	NA	NA	0.65	117	Feces	High	Ok	703.076923076923	2017	High	Yes
F4133	457	140.54	0.67	NA	NA	0.67	141	Feces	High	Ok	682.089552238806	2017	High	Yes
F4063	443	76.39	0.48	NA	NA	0.48	76	Feces	High	Ok	922.916666666667	2017	High	Yes
F4161	443	108.44	0.64	NA	NA	0.64	108	Feces	High	Ok	692.1875	2017	High	Yes
F4187	357	84.04	0.55	NA	NA	0.55	84	Feces	Middle	Ok	649.090909090909	2017	High	Yes
F4257	343	112.04	0.65	NA	NA	0.65	112	Feces	Middle	Ok	527.692307692308	2017	High	Yes
F4067	314	111.72	0.64	NA	NA	0.64	112	Feces	Middle	Ok	490625	2017	High	Yes
F4155	314	124.48	0.66	NA	NA	0.66	124	Feces	Middle	Ok	475.757575757576	2017	High	Yes
F4205	300	100.17	0.62	NA	NA	0.62	100	Feces	Middle	Ok	483.870967741936	2017	High	Yes
F7061	295	99.2704665	0.646032219	NA	NA	0.646032219	99	Feces	Middle	bip	457.026503503225	2019	Middle	No
F7057	288	NA	NA	138.03724	0.699187543	0.699187543	138	Feces	Middle	Ok	411.730623610381	2019	Middle	No
F7017	284	118.1338641	0.675066613	87.41418	0.622968358	0.649017485	103	Feces	Middle	Ok	437.981562700117	2019	Middle	No
F7039	282	109.6943397	0.6629762	NA	NA	0.6629762	110	Feces	Middle	bip	425.923167528488	2019	Middle	No
F6069	279	130.9756138	0.691246986	NA	NA	0.691246986	131	Feces	Middle	Ok	402.934014528926	2019	Middle	No
F7007	276	106.567185	0.65814965	80.85916	0.607329254	0.632739452	94	Feces	Middle	Ok	436.891457654833	2019	Middle	No
F6101	274	112.1563431	0.666638297	87643	0.623466888	0.645052592	100	Feces	Middle	Ok	425.343970713011	2019	Middle	No
F7063	274	132.3641374	0.692857624	74.9906	0.589966837	0.64141223	104	Feces	Middle	Ok	426.492791227258	2019	Middle	No
F7015	273	102.9834457	0.652357794	83.69922	0.61446399	0.633410892	93	Feces	Middle	Ok	431.764939400505	2019	Middle	No
F7029	273	NA	NA	99.50126	0.646435803	0.646435803	100	Feces	Middle	Ok	422.583457834869	2019	Middle	No
F7043	270	NA	NA	74.2503	0.587425593	0.587425593	74	Feces	Middle	Ok	459.645775596978	2019	Middle	No
F7047	270	117.1052325	0.673660535	77.44032	0.597744426	0.63570248	97	Feces	Middle	Ok	424.085662997571	2019	Middle	No
F7087	262	135.6869819	0.696612773	86.64696	0.621277028	0.658944901	111	Feces	Middle	bip	397.179233654924	2019	Middle	No
F7069	256	110.1218352	0.663620541	NA	NA	0.663620541	110	Feces	Middle	Ok	385.391696608137	2019	Middle	No
F7071	251	91.16522384	0.630832679	112.19404	0.666693466	0.648763073	102	Feces	Middle	Ok	386.53437785908	2019	Middle	No
F6027	245	111.0871098	0.665062255	88.59866	0.625521034	0.645291645	100	Feces	Middle	Ok	379.262024072852	2019	Middle	No
F7083	243	88.10454841	0.624464504	85.38172	0.618417263	0.621440883	87	Feces	Middle	Ok	391.521863069958	2019	Middle	No
F7045	241	118.1246868	0.675054146	116.77044	0.673199047	0.674126596	117	Feces	Middle	Ok	357.984575199878	2019	Middle	No
F7037	240	102.9092892	0.652234817	NA	NA	0.652234817	103	Feces	Middle	Ok	367.499783134085	2019	Middle	No
F70838	235	NA	NA	89.5947	0.627616352	0.627616352	90	Feces	Middle	bip	374.855409439683	2019	Middle	No
F7033	235	NA	NA	131.7245	0.692118772	0.692118772	132	Feces	Middle	Ok	339.903865806431	2019	Middle	No
F7023	230	102.0754007	0.650842803	109.60972	0.662848227	0.656845515	106	Feces	Middle	Ok	350.796687406779	2019	Middle	No
F7009	229	136.1336685	0.697107205	NA	NA	0.697107205	136	Feces	Middle	Ok	328.351438857959	2019	Middle	No
F7035	228	99.2387192	0.64597659	77.57492	0.59814707	0.62206183	88	Feces	Middle	Ok	366.782733639195	2019	Middle	No
F7059	227	134.3250194	0.69509023	91.93674	0.632376114	0.663733172	113	Feces	Middle	Ok	341.836857145962	2019	Middle	No
F7055	226	117.5280104	0.674240595	NA	NA	0.674240595	118	Feces	Middle	Ok	334.9580392738	2019	Middle	No
F7003	222	124.9241834	0.683924	83.76652	0.614625692	0.649274846	104	Feces	Middle	Ok	341.647421375693	2019	Middle	No
F7075	221	99.91106057	0.647148895	86.66042	0.62130697	0.634227932	93	Feces	Middle	Ok	348.388459655542	2019	Middle	No
F7027	217	NA	NA	NA	NA	NA	NA	Feces	Middle	Ok	NA	2019	Low	Yes
F4129	214	107.61	0.61	NA	NA	0.61	108	Feces	Middle	Ok	350.819672131148	2017	Low	Yes
F7031	213	NA	NA	81.3168	0.608523241	0.608523241	81	Feces	Middle	Ok	350.659762886525	2019	Low	Yes
F389	197	NA	NA	NA	NA	NA	NA	Feces	Low	bip	NA	2019	Low	Yes
F7077	196	NA	NA	87.87182	0.623962788	0.623962788	88	Feces	Low	Ok	313.418592039498	2019	Low	Yes
F7125	191	151.4548053	0.712721951	94.26532	0.636900884	0.674811418	123	Feces	Low	Ok	283.287122151214	2019	Low	Yes
F7089	189	NA	NA	94.26532	0.636900884	0.636900884	94	Feces	Low	Ok	297.051413261973	2019	Low	Yes
F4095	186	120.34	0.65	NA	NA	0.65	120	Feces	Low	Ok	286.153846153846	2017	Low	Yes
F4047	171	108.71	0.64	NA	NA	0.64	109	Feces	Low	Ok	267.1875	2017	Low	Yes
F4085	171	124.91	0.66	NA	NA	0.66	125	Feces	Low	Ok	259.090909090909	2017	Low	Yes
F4033	157	NA	NA	NA	NA	NA	NA	Feces	Low	Ok	NA	2017	Low	Yes
F4125	157	127.64	0.66	NA	NA	0.66	128	Feces	Low	Ok	237.878787878788	2017	Low	Yes
F4131	1	NA	NA	NA	NA	NA	NA	Feces	Low	Ok	NA	2017	Low	Yes
